model name	subset name	split	class	lAcc	lAcc (norm)	CER (total)	CER (errors)
BART_4-4-404_66m	poetic_19	holdout	10001-n	0.9806314469448458	0.9884882129393863	0.0067147761396669095	0.3466844487838527
BART_4-4-404_66m	poetic_19	holdout	punct	0.998913097371115	0.998913097371115	0.0009657715477788858	0.8885538797248547
BART_4-4-404_66m	poetic_19	holdout	all	0.9964884562236422	0.9973714278518215	0.0014268178957922513	0.40632211547485547
BART_4-4-404_66m	poetic_19	unknown	1-100	0.9170901310510832	0.9427654453062316	0.05635323934334365	0.6796927803379417
BART_4-4-404_66m	poetic_19	unknown	101-1000	0.9603707828836273	0.9667301404807244	0.014746481397579015	0.37211134790463896
BART_4-4-404_66m	poetic_19	unknown	1001-10000	0.9687988053031771	0.9709704631730145	0.008383626561773907	0.2686956907655713
BART_4-4-404_66m	poetic_19	unknown	10001-n	0.9492960603941207	0.9611164797146869	0.013593662175493924	0.2680987371229377
BART_4-4-404_66m	poetic_19	unknown	punct	0.0	0.0	0.0	0.0
BART_4-4-404_66m	poetic_19	unknown	all	0.9555018740758571	0.9642395378425777	0.01235213920224097	0.2775878522007416
BART_4-4-404_66m	poetic_19	all	1-100	0.9991220454610428	0.9992228560079325	0.0005343603828737282	0.6086424286938427
BART_4-4-404_66m	poetic_19	all	101-1000	0.9919598043856344	0.9932363664644996	0.0029142909216472446	0.36246517639946596
BART_4-4-404_66m	poetic_19	all	1001-10000	0.9917207631726365	0.992914250172999	0.002420256632895574	0.29232846980490346
BART_4-4-404_66m	poetic_19	all	10001-n	0.9621795637602882	0.9723703321784949	0.010765417141573676	0.2846455041750655
BART_4-4-404_66m	poetic_19	all	punct	0.998913097371115	0.998913097371115	0.0009657715477788858	0.8885538797248547
BART_4-4-404_66m	poetic_19	all	all	0.9914281007833392	0.993280841833908	0.0027756985833987777	0.3238137212350561
BART_4-4-404_66m	poetic_20	holdout	1-100	0.9994712156541798	0.9995123767083716	0.0003104383303182181	0.587079274891775
BART_4-4-404_66m	poetic_20	holdout	101-1000	0.9940266223596641	0.9949974733888152	0.0022079611174135867	0.3696336060362343
BART_4-4-404_66m	poetic_20	holdout	1001-10000	0.9970357813301047	0.9978155371117406	0.0010074385063097236	0.33986646010340404
